patent_id,ipc8,ipc_num
CN101407630A,  C08K  13/02        20060101ALI20090415BHCN         ,5
CN101407630A,  C08L  25/08        20060101ALI20090415BHCN         ,6
CN101407630A,  C08L  25/12        20060101ALI20090415BHCN         ,7
CN101407630A,  C08L  51/00        20060101ALI20090415BHCN,8
CN101450637A, B60N   3/02        20060101AFI20090617BHCN,1
CN101430624A, G06F   3/042       20060101AFI20090513BHCN,1
CN101463234A, C09J 133/06        20060101AFI20090706BHCN,1
CN101452956A, H01L  29/78        20060101AFI20090617BHCN,1
CN101393108A, G01N  15/06        20060101AFI20090325BHCN         ,1
CN101393108A,  G01N  15/00        20060101ALI20090325BHCN         ,2
CN101393108A,  G01N  27/60        20060101ALI20090325BHCN,3
CN101374439A, A47C   1/032       20060101AFI20090225BHCN,1
CN101434502A, C05G   3/90        20200101A I20191016RMCN,1
CN101466157A, H04W  80/12        20090101AFI20090706BHCN,1
CN101467532A, A21D   2/00        20060101AFI20090713BHCN,1
CN101475308A, C03C   3/087       20060101AFI20090714BHCN,1
CN101485329A, A01N  47/38        20060101AFI20090730BHCN,1
CN101495556A, C08K   5/00        20060101AFI20090807BHCN,1
CN101525113A, B67D   1/04        20060101A I20100615BHCN         ,1
CN101525113A,  B67D   1/08        20060101A I20100615BHCN         ,2
CN101525113A,  B67D   1/14        20060101A I20100615BHCN,3
CN101487467A, F04B  53/02        20060101AFI20090730BHCN,1
CN101536704A, A21D   2/38        20060101A I20100615BHCN         ,1
CN101536704A,  A21D  13/08        20060101A I20100615BHCN,2
CN101547243A, H04B   5/02        20060101A I20100615BHCN         ,1
CN101547243A,  H04M   1/725       20060101A I20100615BHCN,2
CN101519078A, B61L  27/00        20060101A I20100615BHCN         ,1
CN101519078A,  G06F  17/30        20060101A I20100615BHCN         ,2
CN101519078A,  H04L  29/08        20060101A I20100615BHCN,3
CN101558481A, H01L  21/336       20060101AFI20091014BHCN,1
CN101481887A, D21B   1/14        20060101AFI20090724BHCN,1
CN101531507A, C04B  35/453       20060101A I20100615BHCN         ,1
CN101531507A,  H01C  17/00        20060101A I20100615BHCN         ,2
CN101531507A,  H01C  17/30        20060101A I20100615BHCN,3
CN101571895A, G06F  21/88        20130101A I20150414RHCN,1
CN101523179A, G01L  17/00        20060101AFI20090924BHCN,1
CN101534213A, G06F  17/30        20060101A I20100615BHCN         ,1
CN101534213A,  H04L  12/24        20060101A I20100615BHCN         ,2
CN101534213A,  H04W  24/00        20090101A I20100615BHCN,3
CN101544755A, C08G  65/44        20060101A I20100615BHCN,1
CN101589798A, A23L  33/00        20160101AFI20160226RMEP         ,1
CN101589798A,  C12G   3/04        20060101ALI20091202BHCN,2
CN101635372A, H01M  10/36        20100101AFI20100203BHCN,1
CN101635777A, H04N   1/00        20060101AFI20100203BHCN,1
CN101678247A, B01D  21/26        20060101AFI20100325BHCN         ,1
CN101678247A,  C02F   1/38        20060101ALI20100325BHCN,2
CN101637019A, G01S  19/51        20100101AFI20100101RMUS         ,1
CN101637019A,  H04N   5/232       20060101AFI20100203BHCN         ,2
CN101637019A,  G01S   5/14        20060101A I20100710RMEP         ,3
CN101637019A,  G01S  19/45        20100101A I20100710RMEP,4
CN101627699A, A01G   1/04        20060101AFI20100202BHCN,1
CN101638199A, B66B   5/02        20060101AFI20100208BHCN,1
CN101588026A, H02B  11/167       20060101AFI20091125BHCN         ,1
CN101588026A,  H02B  11/02        20060101ALI20091125BHCN,2
CN101671048A, C01F   7/76        20060101AFI20100322BHCN         ,1
CN101671048A,  C02F   1/52        20060101ALI20100322BHCN,2
CN101681233A, G06F   3/048       20060101AFI20100325BHCN         ,1
CN101681233A,  G06F   3/0481      20130101A I20130921RMEP,2
CN101640494A, H02M   7/48        20070101AFI20100208BHCN         ,1
CN101640494A,  B60L  50/16        20190101ALI20190116RMEP,2
CN101661862A, H01J  37/08        20060101AFI20100311BHCN,1
CN101662863A, H05B  37/02        20060101AFI20100311BHCN,1
CN101653135A, A01N  47/34        20060101AFI20100301BHCN,1
CN101642796A, B22C   3/00        20060101AFI20100212BHCN,1
CN101694907A, H01R   4/62        20060101AFI20100415BHCN         ,1
CN101694907A,  H01R   4/18        20060101ALI20100415BHCN         ,2
CN101694907A,  H01R  11/11        20060101ALI20100415BHCN         ,3
CN101694907A,  H01R  43/00        20060101ALI20100415BHCN         ,4
CN101694907A,  H01R  43/048       20060101ALI20100415BHCN         ,5
CN101694907A,  H01R  43/28        20060101ALI20100415BHCN,6
CN101718927A, G02F   1/1337      20060101AFI20100806BHCN         ,1
CN101718927A,  G02F   1/139       20060101ALI20100806BHCN,2
CN101768099A, C07C 403/24        20060101AFI20100810BHCN,1
CN101690579A, A23L  27/26        20160101AFI20160226RMEP,1
CN101700361A, A61K  36/8984      20060101AFI20100519BHCN         ,1
CN101700361A,  A23L  33/105       20160101A I20170104RHCN         ,2
CN101700361A,  A61K 135/00        20060101ALN20100519BHCN         ,3
CN101700361A,  A61P   1/14        20060101ALI20100519BHCN,4
CN101692386A, H01F  27/24        20060101AFI20100414BHCN         ,1
CN101692386A,  H01F  41/02        20060101ALI20100414BHCN,2
CN101712472A, C01B  32/949       20170101AFI20180130RMEP,1
CN101735514A, C08L  23/12        20060101AFI20100809BHCN         ,1
CN101735514A,  B29B   9/06        20060101ALI20100809BHCN         ,2
CN101735514A,  C08K   3/32        20060101ALI20100809BHCN         ,3
CN101735514A,  C08K   3/34        20060101ALI20100809BHCN         ,4
CN101735514A,  C08K   5/053       20060101ALI20100809BHCN         ,5
CN101735514A,  C08K   5/098       20060101ALI20100809BHCN         ,6
CN101735514A,  C08K   5/3492      20060101ALI20100809BHCN         ,7
CN101735514A,  C08K   7/24        20060101ALI20100809BHCN         ,8
CN101735514A,  C08K  13/04        20060101ALI20100809BHCN         ,9
CN101735514A,  C08L  51/06        20060101ALI20100809BHCN,10
CN101735529A, C08L  27/06        20060101AFI20100809BHCN         ,1
CN101735529A,  C08L   9/02        20060101ALI20100809BHCN         ,2
CN101735529A,  C08L  51/00        20060101ALI20100809BHCN         ,3
CN101735529A,  C08L  53/02        20060101ALI20100809BHCN         ,4
CN101735529A,  H01B   3/44        20060101ALI20100809BHCN,5
CN101770351A, G06F   3/12        20060101AFI20100810BHCN         ,1
CN101770351A,  H04L  29/06        20060101ALI20100810BHCN,2
CN101771039A, H01L  27/06        20060101AFI20100810BHCN         ,1
CN101771039A,  H01L  21/8249      20060101ALI20100810BHCN         ,2
CN101771039A,  H01L  29/06        20060101ALI20100810BHCN         ,3
CN101771039A,  H01L  29/10        20060101ALI20100810BHCN,4
CN101759158A, C01B  17/92        20060101AFI20100810BHCN         ,1
CN101759158A,  C02F   1/52        20060101ALI20100810BHCN         ,2
CN101759158A,  C02F 101/10        20060101ALN20100810BHCN,3
CN101759259A, C02F   1/50        20060101AFI20100810BHCN         ,1
CN101759259A,  A61K  36/634       20060101ALI20100810BHCN         ,2
CN101759259A,  A61P  31/04        20060101ALI20100810BHCN,3
CN101714927A, H04L  12/24        20060101AFI20100806BHCN         ,1
CN101714927A,  H04L  29/06        20060101ALI20100806BHCN,2
CN101761647A, F16J  15/02        20060101AFI20100810BHCN         ,1
CN101761647A,  F21V  15/02        20060101ALI20100810BHCN,2
CN101704310A, B32B   9/04        20060101AFI20100805BHCN         ,1
CN101704310A,  C23C  10/26        20060101ALI20100805BHCN,2
CN101729037A, H03H   9/02        20060101AFI20100806BHCN         ,1
CN101729037A,  H01L  23/02        20060101ALI20150331RHJP         ,2
CN101729037A,  H03H   3/02        20060101ALI20100806BHCN         ,3
CN101729037A,  H03H   9/17        20060101ALI20100806BHCN,4
CN101775281A, C09K  11/06        20060101AFI20100810BHCN,1
CN101764855A, H04L  29/12        20060101AFI20100810BHCN         ,1
CN101764855A,  H04L  12/66        20060101ALI20100810BHCN,2
CN101808152A, H04M   1/725       20060101AFI20100825BHCN         ,1
CN101808152A,  G06F   3/0482      20130101A I20131126RHCN,2
CN101787583A, D01F   6/84        20060101AFI20100810BHCN         ,1
CN101787583A,  C08G  63/183       20060101ALI20100810BHCN         ,2
CN101787583A,  D01D   1/09        20060101ALI20100810BHCN         ,3
CN101787583A,  D01D   5/10        20060101ALI20100810BHCN,4
CN101847473A, H01B  17/60        20060101AFI20100930BHCN         ,1
CN101847473A,  C08K   3/36        20060101ALI20100930BHCN         ,2
