'ID,Serial No,Location,Mfg.,Type,Model,Reading Date,Reading Time,Reading Timezone,Hour Meter,Operator Logon,Equipment Idle,Equipment Meter Usage,Equipment Travel,Equipment Hydraulic
123,1A531535,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,10:09:55 PM,EDT,2965.2,201.3,98.9,102.4,77.8,15.8
127,1A538718,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,02:36:27 PM,EDT,1510.7,128.0,77.8,50.3,36.0,7.5
130,1A542572,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,10:54:16 PM,EDT,4317.2,239.1,89.6,149.6,100.4,30.2
131,1A542573,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,10:43:00 PM,EDT,3486.4,140.8,62.7,78.1,64.2,13.0
135,1A549856,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,02:59:01 PM,EDT,2062.9,156.9,86.4,70.5,52.0,17.2
136,1A549857,Greencastle,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,10:25:35 PM,EDT,1525.9,209.9,139.2,70.7,49.9,12.5
061,1A575252,Greencastle,Crown Equipment Corporation,RM6000,RM6095S-45,07/31/20,10:10:15 PM,EDT,1060.6,384.0,149.3,234.6,133.5,45.3
063,1A575645,Greencastle,Crown Equipment Corporation,RM6000,RM6095S-45,07/31/20,10:16:51 PM,EDT,1202.8,297.0,95.5,201.5,111.3,30.3
096,5A538916,Greencastle,Crown Equipment Corporation,SX,SX3000-30,07/31/20,01:55:32 PM,EDT,26.9,22.1,20.2,2.0,1.7,0.4
054,1A303161,Greencastle,Crown Equipment Corporation,TSP,TSP6000-30,07/31/20,09:26:45 PM,EDT,35972.0,230.7,102.4,128.3,30.4,51.5
006,9A116825,Greencastle,Crown Equipment Corporation,WAVE,WAV50-84,07/30/20,10:05:45 AM,EDT,1102.2,1.8,1.5,0.4,0.3,0.0
013,9A116905,Greencastle,Crown Equipment Corporation,WAVE,WAV50-84,07/31/20,02:28:16 PM,EDT,1734.6,10.9,7.4,3.4,3.4,0.0
047,9A138475,Greencastle,Crown Equipment Corporation,WAVE,WAV50-118,07/31/20,06:01:54 AM,EDT,2473.1,6.4,4.1,2.3,0.7,0.0
049,9A224100,Greencastle,Crown Equipment Corporation,WAVE,WAV60-118,07/31/20,02:08:35 PM,EDT,1763.5,202.1,177.5,24.6,18.8,0.4
073,9A151776,Greencastle,Crown Equipment Corporation,WAVE,WAV50-118,07/31/20,12:27:32 PM,EDT,3694.3,86.5,73.9,12.6,9.3,0.2
075,9A151777,Greencastle,Crown Equipment Corporation,WAVE,WAV50-118,07/31/20,10:41:09 PM,EDT,3664.9,147.8,120.3,27.6,19.9,0.3
116,10076246,Greencastle,Crown Equipment Corporation,WAVE,WAV60-118,07/30/20,10:09:17 AM,EDT,264.0,17.3,10.7,6.7,4.1,0.8
118,7A310737,Greencastle,Crown Equipment Corporation,WP,WP3030-45,07/30/20,07:05:23 AM,EDT,0.0,0.1,0.1,0.0,0.0,0.0
129,10102763,Greencastle,Crown Equipment Corporation,WP,WP3035-45,07/30/20,01:52:06 PM,EDT,0.1,0.7,0.7,0.0,0.0,0.0
028,9A222219,Greencastle Materials,Crown Equipment Corporation,FC,FC5225-50,07/31/20,10:22:34 PM,EDT,6064.2,157.7,51.7,106.0,71.6,15.1
